"REF_DATE","GEO","DGUID","Sex or Gender","Indicator","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1970","Canada","2016A000011124","Both sexes","Mean age at divorce","Years","308","units","0","v1331244494","1.1.1","38.8","","","","1"
"1970","Canada","2016A000011124","Both sexes","Median age at divorce","Years","308","units","0","v1331244495","1.1.2","37.1","","","","1"
"1970","Canada","2016A000011124","Both sexes","Mean age at marriage","Years","308","units","0","v1331244496","1.1.3","23.6","","","","1"
"1970","Canada","2016A000011124","Both sexes","Median age at marriage","Years","308","units","0","v1331244497","1.1.4","22.0","","","","1"
"1970","Canada","2016A000011124","Males","Mean age at divorce","Years","308","units","0","v1331244490","1.2.1","40.3","","","","1"
"1970","Canada","2016A000011124","Males","Median age at divorce","Years","308","units","0","v1331244491","1.2.2","38.6","","","","1"
"1970","Canada","2016A000011124","Males","Mean age at marriage","Years","308","units","0","v1331244492","1.2.3","25.1","","","","1"
"1970","Canada","2016A000011124","Males","Median age at marriage","Years","308","units","0","v1331244493","1.2.4","23.3","","","","1"
"1970","Canada","2016A000011124","Females","Mean age at divorce","Years","308","units","0","v1331244486","1.3.1","37.3","","","","1"
"1970","Canada","2016A000011124","Females","Median age at divorce","Years","308","units","0","v1331244487","1.3.2","35.5","","","","1"
"1970","Canada","2016A000011124","Females","Mean age at marriage","Years","308","units","0","v1331244488","1.3.3","22.0","","","","1"
"1970","Canada","2016A000011124","Females","Median age at marriage","Years","308","units","0","v1331244489","1.3.4","20.5","","","","1"
"1970","Newfoundland and Labrador","2016A000210","Both sexes","Mean age at divorce","Years","308","units","0","v1331244350","2.1.1","37.2","","","","1"
"1970","Newfoundland and Labrador","2016A000210","Both sexes","Median age at divorce","Years","308","units","0","v1331244351","2.1.2","35.9","","","","1"
"1970","Newfoundland and Labrador","2016A000210","Both sexes","Mean age at marriage","Years","308","units","0","v1331244352","2.1.3","22.6","","","","1"
"1970","Newfoundland and Labrador","2016A000210","Both sexes","Median age at marriage","Years","308","units","0","v1331244353","2.1.4","21.7","","","","1"
"1970","Newfoundland and Labrador","2016A000210","Males","Mean age at divorce","Years","308","units","0","v1331244346","2.2.1","38.5","","","","1"
"1970","Newfoundland and Labrador","2016A000210","Males","Median age at divorce","Years","308","units","0","v1331244347","2.2.2","37.0","","","","1"
"1970","Newfoundland and Labrador","2016A000210","Males","Mean age at marriage","Years","308","units","0","v1331244348","2.2.3","23.9","","","","1"
"1970","Newfoundland and Labrador","2016A000210","Males","Median age at marriage","Years","308","units","0","v1331244349","2.2.4","22.6","","","","1"
"1970","Newfoundland and Labrador","2016A000210","Females","Mean age at divorce","Years","308","units","0","v1331244342","2.3.1","35.9","","","","1"
"1970","Newfoundland and Labrador","2016A000210","Females","Median age at divorce","Years","308","units","0","v1331244343","2.3.2","34.4","","","","1"
"1970","Newfoundland and Labrador","2016A000210","Females","Mean age at marriage","Years","308","units","0","v1331244344","2.3.3","21.3","","","","1"
"1970","Newfoundland and Labrador","2016A000210","Females","Median age at marriage","Years","308","units","0","v1331244345","2.3.4","20.2","","","","1"
"1970","Prince Edward Island","2016A000211","Both sexes","Mean age at divorce","Years","308","units","0","v1331244362","3.1.1","37.7","","","","1"
"1970","Prince Edward Island","2016A000211","Both sexes","Median age at divorce","Years","308","units","0","v1331244363","3.1.2","34.7","","","","1"
"1970","Prince Edward Island","2016A000211","Both sexes","Mean age at marriage","Years","308","units","0","v1331244364","3.1.3","23.1","","","","1"
"1970","Prince Edward Island","2016A000211","Both sexes","Median age at marriage","Years","308","units","0","v1331244365","3.1.4","21.2","","","","1"
"1970","Prince Edward Island","2016A000211","Males","Mean age at divorce","Years","308","units","0","v1331244358","3.2.1","39.6","","","","1"
