_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
487,ET,80,2011-01
488,NY,136,2011-01
489,SC,159,2011-01
490,TO,367,2011-01
491,ET,109,2011-02
492,NY,150,2011-02
493,SC,154,2011-02
494,TO,383,2011-02
495,ET,177,2011-03
496,NY,231,2011-03
497,SC,213,2011-03
498,TO,589,2011-03
499,ET,178,2011-04
500,NY,277,2011-04
501,SC,261,2011-04
502,TO,660,2011-04
503,ET,263,2011-05
504,NY,376,2011-05
505,SC,375,2011-05
506,TO,871,2011-05
507,ET,255,2011-06
508,NY,365,2011-06
509,SC,334,2011-06
510,TO,870,2011-06
511,ET,238,2011-07
512,NY,364,2011-07
513,SC,352,2011-07
514,TO,989,2011-07
515,ET,257,2011-08
516,NY,366,2011-08
517,SC,345,2011-08
518,TO,965,2011-08
519,ET,152,2011-09
520,NY,255,2011-09
521,SC,276,2011-09
522,TO,638,2011-09
523,ET,126,2011-10
524,NY,201,2011-10
525,SC,218,2011-10
526,TO,468,2011-10
527,ET,103,2011-11
528,NY,191,2011-11
529,SC,182,2011-11
530,TO,340,2011-11
531,ET,109,2011-12
532,NY,171,2011-12
533,SC,149,2011-12
534,TO,356,2011-12
535,ET,115,2012-01
536,NY,176,2012-01
537,SC,171,2012-01
538,TO,440,2012-01
539,ET,134,2012-02
540,NY,195,2012-02
541,SC,160,2012-02
542,TO,390,2012-02
543,ET,183,2012-03
544,NY,234,2012-03
545,SC,243,2012-03
546,TO,567,2012-03
547,ET,194,2012-04
548,NY,225,2012-04
549,SC,252,2012-04
550,TO,561,2012-04
551,ET,217,2012-05
552,NY,294,2012-05
553,SC,332,2012-05
554,TO,807,2012-05
555,ET,262,2012-06
556,NY,353,2012-06
557,SC,340,2012-06
558,TO,888,2012-06
559,ET,269,2012-07
560,NY,404,2012-07
561,SC,371,2012-07
562,TO,971,2012-07
563,ET,251,2012-08
564,NY,353,2012-08
565,SC,346,2012-08
566,TO,980,2012-08
567,ET,132,2012-09
568,NY,233,2012-09
569,SC,215,2012-09
570,TO,563,2012-09
571,ET,156,2012-10
572,NY,208,2012-10
573,SC,215,2012-10
574,TO,486,2012-10
575,ET,85,2012-11
576,NY,180,2012-11
577,SC,170,2012-11
578,TO,391,2012-11
579,ET,99,2012-12
580,NY,163,2012-12
581,SC,158,2012-12
582,TO,365,2012-12
583,ET,91,2013-01
584,NY,169,2013-01
585,SC,138,2013-01
586,TO,365,2013-01
587,ET,90,2013-02
588,NY,163,2013-02
589,SC,126,2013-02
590,TO,346,2013-02
591,ET,130,2013-03
592,NY,217,2013-03
593,SC,188,2013-03
594,TO,455,2013-03
595,ET,177,2013-04
596,NY,298,2013-04
597,SC,219,2013-04
598,TO,666,2013-04
599,ET,223,2013-05
600,NY,310,2013-05
601,SC,300,2013-05
602,TO,748,2013-05
603,ET,212,2013-06
604,NY,286,2013-06
605,SC,303,2013-06
606,TO,778,2013-06
607,ET,258,2013-07
608,NY,450,2013-07
609,SC,319,2013-07
610,TO,972,2013-07
611,ET,244,2013-08
612,NY,324,2013-08
613,SC,322,2013-08
614,TO,931,2013-08
615,ET,157,2013-09
616,NY,232,2013-09
617,SC,233,2013-09
618,TO,607,2013-09
619,ET,121,2013-10
620,NY,163,2013-10
621,SC,208,2013-10
622,TO,448,2013-10
623,ET,92,2013-11
624,NY,162,2013-11
625,SC,140,2013-11
626,TO,315,2013-11
627,ET,89,2013-12
628,NY,146,2013-12
629,SC,130,2013-12
630,TO,314,2013-12
631,ET,85,2014-01
632,NY,186,2014-01
633,SC,139,2014-01
634,TO,375,2014-01
635,ET,93,2014-02
636,NY,134,2014-02
637,SC,126,2014-02
638,TO,364,2014-02
639,ET,151,2014-03
640,NY,201,2014-03
641,SC,180,2014-03
642,TO,530,2014-03
643,ET,151,2014-04
644,NY,240,2014-04
645,SC,229,2014-04
646,TO,674,2014-04
647,ET,219,2014-05
648,NY,318,2014-05
649,SC,298,2014-05
650,TO,847,2014-05
651,ET,240,2014-06
652,NY,309,2014-06
653,SC,315,2014-06
654,TO,942,2014-06
655,ET,252,2014-07
656,NY,348,2014-07
657,SC,338,2014-07
658,TO,1024,2014-07
659,ET,239,2014-08
660,NY,351,2014-08
661,SC,288,2014-08
662,TO,967,2014-08
663,ET,169,2014-09
664,NY,228,2014-09
665,SC,225,2014-09
666,TO,658,2014-09
667,ET,126,2014-10
668,NY,180,2014-10
669,SC,206,2014-10
670,TO,489,2014-10
671,ET,77,2014-11
672,NY,138,2014-11
673,SC,111,2014-11
674,TO,347,2014-11
675,ET,109,2014-12
676,NY,162,2014-12
677,SC,157,2014-12
678,TO,357,2014-12
679,ET,123,2015-01
680,NY,140,2015-01
681,SC,149,2015-01
682,TO,327,2015-01
683,ET,108,2015-02
684,NY,159,2015-02
685,SC,130,2015-02
686,TO,333,2015-02
687,ET,155,2015-03
688,NY,224,2015-03
689,SC,222,2015-03
690,TO,559,2015-03
691,ET,149,2015-04
692,NY,273,2015-04
693,SC,257,2015-04
694,TO,665,2015-04
695,ET,245,2015-05
696,NY,307,2015-05
697,SC,306,2015-05
698,TO,805,2015-05
699,ET,268,2015-06
700,NY,386,2015-06
701,SC,346,2015-06
702,TO,927,2015-06
703,ET,317,2015-07
704,NY,387,2015-07
705,SC,390,2015-07
706,TO,1090,2015-07
707,ET,264,2015-08
708,NY,336,2015-08
709,SC,325,2015-08
